date,air_pollution_Delhi,N95_mask,air_purifier,breathing_problem,AQI_Delhi
2016-01-29,5,0,4,0,0
2016-01-30,5,0,4,0,0
2016-01-31,5,0,6,56,0
2016-02-01,5,0,6,56,0
2016-02-02,5,0,6,56,0
2016-02-03,5,0,6,56,0
2016-02-04,5,0,6,56,0
2016-02-05,5,0,6,56,0
2016-02-06,5,0,6,56,0
2016-02-07,5,0,5,73,0
2016-02-08,5,0,5,73,0
2016-02-09,5,0,5,73,0
2016-02-10,5,0,5,73,0
2016-02-11,5,0,5,73,0
2016-02-12,5,0,5,73,0
2016-02-13,5,0,5,73,0
2016-02-14,0,0,4,0,0
2016-02-15,0,0,4,0,0
2016-02-16,0,0,4,0,0
2016-02-17,0,0,4,0,0
2016-02-18,0,0,4,0,0
2016-02-19,0,0,4,0,0
2016-02-20,0,0,4,0,0
2016-02-21,4,0,6,48,0
2016-02-22,4,0,6,48,0
2016-02-23,4,0,6,48,0
2016-02-24,4,0,6,48,0
2016-02-25,4,0,6,48,0
2016-02-26,4,0,6,48,0
2016-02-27,4,0,6,48,0
2016-02-28,3,0,5,0,0
2016-02-29,3,0,5,0,0
2016-03-01,3,0,5,0,0
2016-03-02,3,0,5,0,0
2016-03-03,3,0,5,0,0
2016-03-04,3,0,5,0,0
2016-03-05,3,0,5,0,0
2016-03-06,0,0,3,0,0
2016-03-07,0,0,3,0,0
2016-03-08,0,0,3,0,0
2016-03-09,0,0,3,0,0
2016-03-10,0,0,3,0,0
2016-03-11,0,0,3,0,0
2016-03-12,0,0,3,0,0
2016-03-13,0,0,4,0,0
2016-03-14,0,0,4,0,0
2016-03-15,0,0,4,0,0
2016-03-16,0,0,4,0,0
2016-03-17,0,0,4,0,0
2016-03-18,0,0,4,0,0
2016-03-19,0,0,4,0,0
2016-03-20,0,0,4,0,0
2016-03-21,0,0,4,0,0
2016-03-22,0,0,4,0,0
2016-03-23,0,0,4,0,0
2016-03-24,0,0,4,0,0
2016-03-25,0,0,4,0,0
2016-03-26,0,0,4,0,0
2016-03-27,0,0,4,0,0
2016-03-28,0,0,4,0,0
2016-03-29,0,0,4,0,0
2016-03-30,0,0,4,0,0
2016-03-31,0,0,4,0,0
2016-04-01,0,0,4,0,0
2016-04-02,0,0,4,0,0
2016-04-03,0,0,3,49,0
2016-04-04,0,0,3,49,0
2016-04-05,0,0,3,49,0
2016-04-06,0,0,3,49,0
2016-04-07,0,0,3,49,0
2016-04-08,0,0,3,49,0
2016-04-09,0,0,3,49,0
2016-04-10,0,0,3,0,0
2016-04-11,0,0,3,0,0
2016-04-12,0,0,3,0,0
2016-04-13,0,0,3,0,0
2016-04-14,0,0,3,0,0
2016-04-15,0,0,3,0,0
2016-04-16,0,0,3,0,0
2016-04-17,4,0,3,72,0
2016-04-18,4,0,3,72,0
2016-04-19,4,0,3,72,0
2016-04-20,4,0,3,72,0
2016-04-21,4,0,3,72,0
2016-04-22,4,0,3,72,0
2016-04-23,4,0,3,72,0
2016-04-24,5,0,4,0,0
2016-04-25,5,0,4,0,0
2016-04-26,5,0,4,0,0
2016-04-27,5,0,4,0,0
2016-04-28,5,0,4,0,0
2016-04-29,5,0,4,0,0
2016-04-30,5,0,4,0,0
2016-05-01,4,0,4,0,0
2016-05-02,4,0,4,0,0
2016-05-03,4,0,4,0,0
2016-05-04,4,0,4,0,0
2016-05-05,4,0,4,0,0
2016-05-06,4,0,4,0,0
2016-05-07,4,0,4,0,0
2016-05-08,3,0,3,71,0
2016-05-09,3,0,3,71,0
2016-05-10,3,0,3,71,0
2016-05-11,3,0,3,71,0
